Concept,RADx Global Prompt,Variable,Responses,Old Values
Medical History,No chronic condition,nih_no_chronic_condition,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Obesity (BMI >= 30),nih_obesity,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Osteoporosis,nih_osteoporosis,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Polycystic ovary syndrome,nih_pcos,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Psoriasis,nih_psoriasis,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Renal disease,nih_renal,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Restless leg,nih_rls,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Rheumatoid Arthritis,nih_ra,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Seasonal Allergies,nih_seasonal_allergies,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,"Serious heart condition (heart failure, CAD, cardiomyopathies)",nih_heart_condition,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Sleep Apnea,nih_sleep_apnea,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Substance use,nih_substance_use,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Thalassemia,nih_thalassemia,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Type 1 Diabetes,nih_t1d,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Medical History,Type 2 Diabetes,nih_t2dm,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Cough,nih_cough,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Fever or Chills,nih_fever_chills,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Shortness of breath or difficulty breathing,nih_diff_breath,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Headache,nih_headache,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Muscle ache,nih_muscle_ache,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,New loss of taste or smell,nih_olfactory,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Excessive fatigue,nih_fatigue,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,"Nausea, vomiting, or diarrhea",nih_nausea_vomiting_diarrhea,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Abdominal pain,nih_abdom_pain,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Skin rash,nih_skin_rash,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Conjunctivitis,nih_conjunctivitis,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,"Sore throat, congestion or runny nose ",nih_throat_congestion_nose,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,Red or painful eyes,nih_red_eyes,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
Symptoms,A temperature greater than 100.4 °F,nih_high_temp,"0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer;-9999,Reason Unknown;-9980,Not Sent to Data Hub;-9981,Data Transfer Agreement;-9982,No Participant Consent To Share;-9983,Not Available Or Mappable;-9984,Data Lost Or Inaccessible;-9985,Data Invalid;-9986,Anonymization Or Privacy Concerns;-9987,Other Unsent Reason Not Specified;-9960,Not Entered By Originator;-9961,Omitted This Value;-9962,Originator Chose to Omit;-9963,Question Not Applicable;-9964,Answer Not Known;-9965,Record Not Provided;-9966,All Originators Omitted Element;-9967,CDE Omitted With Exception;-9968,Other Unentered Reason Not Specified;-9940,Not Presented To Participant;-9941,Skip Logic;-9942,No Participant Consent to Ask;-9943,CDE Not Presented Due to Exception;-9944,Element Never Presented for Collection;-9945,Process Error;-9946,Other Unpresented Reason Not Specified","0,No;1,Yes;97, Other;98, Don’t know;99, Prefer not to answer"
